n,time_ms
7,0.0002582
8,0.0001418
9,0.00018319999999999998
10,0.000175
11,0.000175
12,0.00017519999999999998
13,0.0002
14,0.0002416
15,0.00025
16,0.0002582
17,0.0002584
18,0.0002834
19,0.0003002
20,0.0003252
21,0.0003166
22,0.0003418
23,0.00035860000000000004
24,0.0003832
25,0.000425
26,0.00041660000000000004
27,0.000442
28,0.0004832
29,0.0004918
30,0.000525
31,0.00055
32,0.0005336000000000001
33,0.0005752
34,0.0005832000000000001
35,0.0006083999999999999
36,0.0006332
37,0.0006586000000000001
38,0.000725
39,0.0007002
40,0.0007336
41,0.0007997999999999999
42,0.0008164
43,0.0008167999999999999
44,0.0008588
45,0.0008914
46,0.0009416
47,0.0009664
48,0.0010334
49,0.0011
50,0.0011582
51,0.0011834
52,0.0012167999999999999
53,0.0012914
54,0.0012338
55,0.0013
56,0.0013164000000000001
57,0.0013584
58,0.001383
59,0.0013835999999999998
60,0.0014084000000000002
61,0.0014334
62,0.0014502
63,0.0014835999999999998
64,0.001625
65,0.0014915999999999998
66,0.0012418
67,0.0014504000000000001
68,0.0013498
69,0.0014664
70,0.0014248
71,0.0015416
72,0.0013834000000000001
73,0.0016168
74,0.0015332
75,0.0016166
76,0.0015248
77,0.0017
78,0.0015168
79,0.0017582000000000001
80,0.0016084
81,0.001725
82,0.0016582
83,0.0019584
84,0.0017335999999999999
85,0.0020751999999999997
86,0.0018334
87,0.0020418
88,0.0018748
89,0.0021165999999999997
90,0.0018916
91,0.0021834000000000003
92,0.0019332000000000002
93,0.002275
94,0.00215
95,0.0023498
96,0.0021666
97,0.0024166
98,0.002275
99,0.0026168000000000003
100,0.0023082
101,0.0027665999999999997
102,0.002475
103,0.0027084
104,0.0023416
105,0.0027166
106,0.0032004
107,0.003375
108,0.0027334
109,0.00435
110,0.0028834
111,0.0032914
112,0.0030332
113,0.0036331999999999996
114,0.0030835999999999997
115,0.003633
116,0.0031165999999999998
117,0.0034918
118,0.0031584
119,0.0037586
120,0.0032418
121,0.0037668000000000003
122,0.0033086
123,0.0038584
124,0.00335
125,0.0039002
126,0.0035085999999999997
127,0.004
128,0.0034838
129,0.0034086
130,0.0029248
131,0.002925
132,0.0030166
133,0.0037836
134,0.003183
135,0.0032166
136,0.0032588
137,0.0039
138,0.00325
139,0.0032834
140,0.003242
141,0.0040416
142,0.0032748
143,0.003308
144,0.00345
145,0.0042
146,0.0035248000000000002
147,0.0035834
148,0.0035584
149,0.004308
150,0.0035
151,0.0035668
152,0.0036086
153,0.0044666
154,0.003508
155,0.003525
156,0.0035584
157,0.0044582
158,0.0037914
159,0.0038164
160,0.0037918
161,0.0044918
162,0.0037918
163,0.0037916
164,0.0039
165,0.0049166
166,0.0041582
167,0.0041752
168,0.0041833999999999994
169,0.0051666
170,0.0043754
171,0.0043083999999999996
172,0.0042588
173,0.005266399999999999
174,0.0041918
175,0.004267
176,0.0042916000000000004
177,0.0055918
178,0.0043836000000000005
179,0.0044002
180,0.0045248
181,0.005633399999999999
182,0.0045252
183,0.0045584
184,0.0046
185,0.0056332
186,0.0047916
187,0.0048168
188,0.0048002
189,0.0059082
190,0.004966399999999999
191,0.0049164
192,0.004975
193,0.0062082
194,0.005208399999999999
195,0.0051416000000000005
196,0.0051833999999999995
197,0.0066
198,0.005208399999999999
199,0.005275
200,0.0054418
201,0.0067086
202,0.005541600000000001
203,0.0054748
204,0.0056418
205,0.00685
206,0.0056832
207,0.0056998000000000005
208,0.005841600000000001
209,0.0069834
210,0.0056834
211,0.005725
212,0.005825
213,0.0072168
214,0.006
215,0.0059834
216,0.0061334
217,0.007375
218,0.006125
219,0.0061918
220,0.0063248
221,0.007633399999999999
222,0.006350199999999999
223,0.0063582
224,0.0068002
225,0.0088668
226,0.0065
227,0.006358399999999999
228,0.0065
229,0.008241799999999999
230,0.0065918
231,0.0065834
232,0.0069918
233,0.0082752
234,0.0069416
235,0.006767
236,0.006816399999999999
237,0.0084916
238,0.0069416
239,0.007025
240,0.0072252
241,0.008716799999999999
242,0.006966600000000001
243,0.0069082
244,0.0072752
245,0.0088
246,0.007325
247,0.0073666
248,0.0075914
249,0.0092002
